user_id,email,wallet_address,country,plan_tier,registered_at,kyc_verified
USR0001,user1@web3.io,0xe41ee9c533034f934f4e33d78d49caac87113920,KR,pro,2024-09-05 07:53:23,True
USR0002,user2@crypto.com,0xacf542a51d8b0121d44bd8e876d2dc9dc9233c39,UK,free,2024-03-27 16:28:29,False
USR0003,user3@gmail.io,0xf6450ec13214c107ada029ba7cdbda865e4b436b,SG,starter,2024-01-13 08:14:09,True
USR0004,user4@web3.com,0x20d2dd0a416d9563f2dabe9a4c293593a5390c30,IN,enterprise,2024-08-05 23:10:59,True
USR0005,user5@crypto.io,0xe08e7940d8b7ae12a57655e9b6b236cf2276846f,US,starter,2024-06-23 10:55:54,False
USR0006,user6@gmail.com,0x23c760a2a63fe3ddbfafc9dfdc23dd46efc18b85,SG,pro,2024-05-12 03:21:52,True
USR0007,user7@web3.io,0xa2e1f319b8366c60c03ad69d195e7143fdd66fc8,JP,pro,2024-02-06 00:27:14,True
USR0008,user8@crypto.com,0xeaa9c16a1b614a03bc766b327f4cbad93fae2802,AU,free,2024-11-09 10:58:50,False
USR0009,user9@gmail.io,0xaa5be5b724ef2c343d844d62bb4cb40617435537,IN,pro,2024-01-31 14:28:15,True
USR0010,user10@web3.com,0x05ea1a059529d48deaaae5e044cde401ffec74e6,IN,starter,2024-09-30 15:05:07,True
USR0011,user11@crypto.io,0x6d2644d00e1df19eaa14120b9638161aa91740a1,UK,enterprise,2024-01-31 23:42:54,True
USR0012,user12@gmail.com,0xaf7f3e6b8210c05ab74715645457679c14691c7b,JP,starter,2024-06-25 02:05:25,True
USR0013,user13@web3.io,0xd9b9056f60a1aa6915854e7b5659b7ac09bcc3c3,AE,free,2024-05-17 23:21:46,True
USR0014,user14@crypto.com,0x03c4ed33aae6ea33d5601ad5273d1a1d99b72557,DE,enterprise,2024-07-26 10:32:40,False
USR0015,user15@gmail.io,0x5b80008b981df59498fdfbb0a660cc533ac4d723,IN,starter,2024-04-14 20:05:45,True
USR0016,user16@web3.com,0x367aef03364475a46e40a3662578d23032d817d0,US,starter,2024-11-23 07:56:57,True
USR0017,user17@crypto.io,0x2f6814daa41611d1e6c2fa789093b35b24440b20,AE,free,2024-11-08 15:34:14,True
USR0018,user18@gmail.com,0x8c18674e397d5824f482dbea88fc9f02d02153c7,KR,pro,2024-12-20 15:02:43,True
USR0019,user19@web3.io,0x71fd6a8d54195ff8ba628bc20299c5fdb84f79e8,IN,enterprise,2024-09-11 13:07:52,True
USR0020,user20@crypto.com,0xf04687a03bf0c0091c961a318ce47002c8184075,KR,pro,2024-04-12 20:51:43,False
USR0021,user21@gmail.io,0x3b314d1abed1f7007b8538045316369d4ed947be,JP,starter,2024-12-14 16:18:56,True
USR0022,user22@web3.com,0x0cb9339ecffd58f01ce0a8898a1229d6c671cc6a,US,free,2024-07-16 21:07:45,True
USR0023,user23@crypto.io,0xad53a3735717016c1edab13d68f5ca45f915de9d,IN,enterprise,2024-08-31 16:13:15,True
USR0024,user24@gmail.com,0x24b6dbacdedadf22bb4ddd2c03b95f4c3bb439e9,AU,pro,2024-05-29 10:17:28,True
USR0025,user25@web3.io,0x0f37dd621a28add2c82a5b0ee4237a7e91389d52,IN,pro,2024-09-21 04:42:03,True
